id,url,summary,connectivity,bwDown,bwUp,latency,completed,is-on-https,viewport,first-contentful-paint-score,first-contentful-paint-numericValue,largest-contentful-paint-score,largest-contentful-paint-numericValue,first-meaningful-paint-score,first-meaningful-paint-numericValue,speed-index-score,speed-index-numericValue,tbt-score,tbt-numericValue,max-potential-fid-score,max-potential-fid-numericValue,cls-score,cls-numericValue,server-response-score,server-response-numericValue,tti-score,tti-numericValue,content-width-score,image-aspect-ratio-score,bootup-time-score,bootup-time-numericValue,network-server-latency-numericValue,color-contrast,heading-order,render-blocking-resources-score,render-blocking-resources-numericValue,numRequests,numScripts,numStylesheets,numFonts,numTasks,numTasksOver10ms,numTasksOver25ms,numTasksOver50ms,numTasksOver100ms,numTasksOver500ms,rtt,totalByteWeight,totalTaskTime,mainDocumentTransferSize,urlObj,hostname,pathname
230809_AiDcA9_CEG,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US&g_AAAU=museum+%7cObject+%7c%25grpObject+%3d+%27fishing%27&d=d,https://www.webpagetest.org/results.php?test=230809_AiDcA9_CEG,3G,1600,768,300,1691602444,1,0,0,8129.906,0.02,8491.071,0.03,8491.071,0.16,8681,0.65,425.28099999999995,0.57,227.883,0.79,0.13814701870627547,0,3927.514,0.23,10575.334000001907,0,1,0.99,547.245,930.76,1,1,0.84,218,39,15,4,1,756,34,14,8,4,0,164.35899999999998,1124386,1934.5089999999961,222083,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US&g_AAAU=museum+%7cObject+%7c%25grpObject+%3d+%27fishing%27&d=d,5003.sydneyplus.com,/argus/museum/Portal/508.aspx
230809_BiDc1P_BX1,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US,https://www.webpagetest.org/results.php?test=230809_BiDc1P_BX1,3G,1600,768,300,1691601571,1,0,0.34,3530.081,0.55,3804.241,0.59,3605.759,0.85,3751,0.97,118.41899999999987,0.81,157.598,0.83,0.12381540906348018,1,268.02199999999993,0.77,4985.397,0,1,1,402.143,340.31800000000004,1,1,0.84,219,25,12,4,1,476,19,9,6,2,0,164.54399999999998,739207,1147.1189999999992,41946,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US,5003.sydneyplus.com,/argus/museum/Portal/508.aspx
230809_BiDc61_BWG,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US&g_AAAU=museum+%7cObject+%7c%25grpObject+%3d+%27fishing%27&d=d,https://www.webpagetest.org/results.php?test=230809_BiDc61_BWG,3G,1600,768,300,1691601555,1,0,0,8092.951,0.02,8194.31,0.03,8359.677,0.17,8529,0.79,296.5249999980915,0.7,188.693,0.81,0.13262537502354968,0,3925.0610000000006,0.23,10658.430999998092,0,1,0.99,508.54499999999996,922.116,1,1,0.84,223,39,15,4,1,811,38,19,9,4,0,164.411,1124353,1946.8810000000012,222083,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US&g_AAAU=museum+%7cObject+%7c%25grpObject+%3d+%27fishing%27&d=d,5003.sydneyplus.com,/argus/museum/Portal/508.aspx
230809_BiDcAP_C14,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US,https://www.webpagetest.org/results.php?test=230809_BiDcAP_C14,3G,1600,768,300,1691602423,1,0,0.33,3574.409,0.59,3645.999,0.6,3574.409,0.85,3728,0.98,98.57299999999941,0.91,122.661,0.83,0.12381540906348018,1,269.55500000000006,0.76,5004.547,0,1,1,449.634,337.491,1,1,0.82,241,25,12,4,1,485,21,11,6,3,0,164.68600000000004,739230,1155.3089999999997,41945,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US,5003.sydneyplus.com,/argus/museum/Portal/508.aspx
230809_BiDcC4_B3T,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US,https://www.webpagetest.org/results.php?test=230809_BiDcC4_B3T,3G,1600,768,300,1691597213,1,0,0.1,4950.419,0.26,5052.211,0.28,5052.211,0.61,5115,0.98,106.79299999999876,0.87,139.279,0.83,0.12381540906348018,1,269.573,0.61,6325.132,0,1,1,432.88199999999995,1644.439,1,1,0.84,223,25,12,4,1,529,27,9,7,3,0,164.954,1000555,1269.8280000000004,41945,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US,5003.sydneyplus.com,/argus/museum/Portal/508.aspx
230809_BiDcCH_B2Y,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US&g_AAAU=museum+%7cObject+%7c%25grpObject+%3d+%27fishing%27&d=d,https://www.webpagetest.org/results.php?test=230809_BiDcCH_B2Y,3G,1600,768,300,1691597155,1,0,0,9480.629,0,9480.629,0.01,9927.826,0.1,9896,0.74,339.3129999999983,0.61,216.328,0.97,0.06437192012862555,0,3843.3520000000003,0.16,11947.687,0,1,0.99,570.049,1040.475,1,1,0.84,223,39,15,4,1,792,32,15,9,4,0,164.50599999999997,1385670,1937.6739999999993,222083,https://5003.sydneyplus.com/argus/museum/Portal/508.aspx?lang=en-US&g_AAAU=museum+%7cObject+%7c%25grpObject+%3d+%27fishing%27&d=d,5003.sydneyplus.com,/argus/museum/Portal/508.aspx
230809_BiDcQW_B35,http://archives.anchoragemuseum.org/?query=Kotzebue&start=1,https://www.webpagetest.org/results.php?test=230809_BiDcQW_B35,3G,1600,768,300,1691597202,0,1,0.09,5002.021,0.09,6457.193,0.29,5002.021,0.35,6795,0.51,576.8349999999991,0.22,369.76,0.03,0.9282178803106211,1,238.00399999999996,0.45,7741.993,1,0,0.99,486.8749999999999,5516.505,0,,0,67296,79,5,6,1,4835,52,19,12,5,0,0.0517,3334215,3827.1830000000427,173302,http://archives.anchoragemuseum.org/?query=Kotzebue&start=1,archives.anchoragemuseum.org,/
230809_BiDcYX_B41,http://archives.anchoragemuseum.org/,https://www.webpagetest.org/results.php?test=230809_BiDcYX_B41,3G,1600,768,300,1691597293,0,1,0.1,4947.667,0.28,4947.667,0.3,4947.667,0.49,5856,0.51,575.5709999990468,0.21,374.725,0.19,0.46077652685261283,1,235.08000000000004,0.49,7376.286999999046,1,0,0.99,535.8430000000001,4254.3495,0,,0,67595,79,5,6,1,3972,38,17,11,5,0,0.08750000000000001,3029375,3683.3590000000104,167843,http://archives.anchoragemuseum.org/,archives.anchoragemuseum.org,/
230809_AiDcZH_BFA,https://archives.consortiumlibrary.org/,https://www.webpagetest.org/results.php?test=230809_AiDcZH_BFA,3G,1600,768,300,1691597147,1,1,0.59,2734.011,0.85,2734.011,0.81,2734.011,0.94,2967,0.79,297.85699999904637,0.59,220.136,1,0.031677472830995916,1,492.96799999999985,0.44,7886.025999999047,1,0,0.97,830.04,381.31600000000003,0,0,0.08,6660,37,12,5,4,975,38,15,10,4,0,153.919,937926,2128.638999999999,13714,https://archives.consortiumlibrary.org/,archives.consortiumlibrary.org,/
230809_AiDcPN_BF9,https://archives.library.uaf.edu/,https://www.webpagetest.org/results.php?test=230809_AiDcPN_BF9,3G,1600,768,300,1691597151,1,1,0.44,3184.3,0.38,4450.316,0.7,3184.3,0.8,4039,0.24,1078.9860000000022,0.26,345.376,0.69,0.17484287529197892,0,812.8230000000001,0.19,11355.19,1,1,0.74,2077.4959999999996,342.97200000000004,0,1,0.01,20424,46,15,5,1,1486,59,28,19,11,0,35.13834,1329088,3948.7549999999933,7793,https://archives.library.uaf.edu/,archives.library.uaf.edu,/
