Date,City,County,State,Population Staying at Home,Population Not Staying at Home,mil_miles,past_week_avg_miles,latitude,longitude,o3_min,o3_max,o3_median,o3_variance,o3_count,pressure_min,pressure_max,pressure_median,pressure_variance,pressure_count,pm25_min,pm25_max,pm25_median,pm25_variance,pm25_count,humidity_min,humidity_max,humidity_median,humidity_variance,humidity_count,temperature_min,temperature_max,temperature_median,temperature_variance,temperature_count,dew_min,dew_max,dew_median,dew_variance,dew_count,no2_min,no2_max,no2_median,no2_variance,no2_count,wind-speed_min,wind-speed_max,wind-speed_median,wind-speed_variance,wind-speed_count,co_min,co_max,co_median,co_variance,co_count,so2_min,so2_max,so2_median,so2_variance,so2_count,pm10_min,pm10_max,pm10_median,pm10_variance,pm10_count,wind-gust_min,wind-gust_max,wind-gust_median,wind-gust_variance,wind-gust_count,pp_feat
2019-01-01,albuquerque,bernalillo,NM,"1,77,171","4,99,456",19.038463500000002,0.0,35.10720930232556,-106.61720930232552,10.4,26.4,20.8,98.44,66.0,1010.2,1026.8,1018.3,202.72,72.0,2.0,65.0,25.0,1556.57,71.0,55.3,92.0,75.9,1137.21,72.0,-9.4,-0.6,-5.3,48.96,72.0,,,,,,1.9,10.2,4.7,68.28,19.0,0.1,10.5,1.6,92.05,50.0,1.0,2.0,1.5,0.84,22.0,,,,,,7.0,127.0,18.0,5303.29,48.0,0.3,27.3,3.8,839.84,54.0,0.319491825499427
2019-01-01,atlanta,fulton,GA,"2,83,093","7,63,811",29.295608500000004,0.0,33.760108695652185,-84.40282608695658,1.6,21.6,8.0,379.32,24.0,1016.1,1020.2,1018.5,21.8,48.0,18.0,54.0,31.0,644.04,48.0,8.2,97.2,86.7,12100.2,48.0,10.8,18.0,14.3,37.74,48.0,,,,,,3.8,16.7,6.5,120.58,24.0,0.1,1.0,0.3,0.81,32.0,1.7,4.0,2.5,4.36,20.0,0.2,0.2,0.2,0.0,9.0,10.0,27.0,14.0,280.83,23.0,0.1,4.5,1.7,12.11,44.0,23.304216398430476
2019-01-01,austin,travis,TX,"2,68,732","9,76,194",27.2860795,0.0,30.28333333333335,-97.75064102564095,1.6,15.2,11.2,104.74,46.0,1013.2,1027.1,1021.2,114.63,72.0,13.0,237.0,38.0,19469.1,72.0,74.2,94.0,85.7,190.89,72.0,0.0,0.0,0.0,0.0,72.0,,,,,,,,,,,0.2,6.1,2.8,25.97,43.0,,,,,,,,,,,,,,,,0.2,14.0,6.8,162.34,67.0,14.333041987312471
2019-01-01,baltimore,baltimo,MD,"1,91,486","4,09,167",12.961132000000001,0.0,39.30583333333331,-76.6104166666667,4.0,28.1,19.2,548.92,23.0,1005.3,1024.1,1014.7,372.71,72.0,1.0,40.0,13.0,780.27,66.0,0.0,98.0,65.2,14459.1,72.0,0.0,16.1,0.0,340.91,71.0,,,,,,1.9,20.4,5.6,136.52,46.0,0.1,11.0,3.4,72.06,66.0,,,,,,,,,,,2.0,15.0,6.0,74.76,24.0,0.1,24.0,8.5,355.46,70.0,6.4032400834450565
2019-01-01,boise,ada,ID,"1,05,237","3,63,293",12.6409545,0.0,43.60454545454543,-116.20242424242424,1.6,28.1,17.4,628.14,44.0,1029.3,1131.4,1034.8,23033.4,96.0,5.0,59.0,13.0,1855.24,42.0,0.0,87.2,61.7,9489.46,96.0,-11.6,0.0,-4.1,141.67,96.0,,,,,,,,,,,0.0,3.6,0.7,6.82,90.0,1.7,10.0,4.8,60.01,79.0,0.2,1.4,0.7,0.82,68.0,1.0,20.0,5.0,170.86,47.0,0.1,11.3,2.2,46.19,92.0,0.0
2019-01-01,boston,suffolk,MA,"2,64,296","5,40,489",17.2218795,0.0,42.35128205128203,-71.06205128205124,13.6,32.0,22.4,223.84,143.0,992.9,1019.1,1005.6,494.83,144.0,5.0,63.0,21.0,1582.38,142.0,0.0,85.2,0.0,5834.76,144.0,0.0,13.8,0.0,118.86,143.0,,,,,,1.0,12.1,3.8,99.96,112.0,0.0,30.3,0.0,659.72,144.0,1.7,2.6,2.0,0.59,132.0,1.5,1.5,1.5,0.0,8.0,,,,,,2.6,46.0,15.7,1244.66,120.0,86.68157980538616
2019-01-01,brooklyn,kings,NY,"9,64,005","16,10,930",52.1306275,0.0,40.65326923076925,-73.95653846153847,15.2,27.2,20.8,84.04,24.0,1002.0,1022.5,1009.2,454.83,120.0,2.0,66.0,38.0,1766.98,144.0,49.4,97.7,67.9,2776.37,120.0,2.7,15.2,9.5,113.29,120.0,2.0,12.0,9.2,137.2,13.0,,,,,,0.1,17.8,5.1,221.59,110.0,,,,,,,,,,,,,,,,0.3,33.3,12.2,593.08,88.0,26.824524672191075
2019-01-01,charlotte,mecklenburg,NC,"2,63,196","8,27,361",30.9604875,0.0,35.19635135135138,-80.82810810810808,8.8,26.4,18.4,138.32,45.0,1012.6,1021.7,1016.9,59.58,96.0,5.0,55.0,21.0,1014.89,94.0,0.0,94.0,79.8,13472.6,95.0,0.0,21.6,18.3,655.02,95.0,10.0,17.0,13.0,77.2,12.0,,,,,,0.0,7.0,1.2,40.43,87.0,0.4,1.9,0.6,2.07,21.0,,,,,,,,,,,0.1,15.1,4.6,173.58,82.0,0.0
2019-01-01,chicago,cook,IL,"13,96,803","37,67,856",148.0421515,0.0,41.85885057471261,-87.67643678160923,1.6,27.2,17.6,501.02,96.0,988.8,1630.9,1024.0,20648.3,191.0,1.0,61.0,27.0,1946.35,189.0,83.1,99.0,90.2,176.19,191.0,-21.8,3.0,-2.0,88.99,191.0,1.0,2.3,1.0,3.32,5.0,2.8,18.6,6.1,215.33,48.0,0.1,9.5,3.6,41.81,175.0,1.0,3.6,2.6,7.43,24.0,,,,,,4.0,70.0,13.0,2756.66,47.0,0.8,16.5,5.0,84.51,191.0,3.6063146028553716
2019-01-01,columbia,richland,SC,"89,669","3,23,640",11.0104215,0.0,34.011818181818185,-81.01333333333336,5.6,18.4,17.6,179.47,23.0,1018.6,1021.0,1019.6,5.65,24.0,17.0,45.0,34.0,759.01,23.0,79.6,97.6,91.6,333.64,24.0,17.6,22.7,20.0,32.21,24.0,18.0,20.0,19.0,6.22,15.0,,,,,,0.2,3.9,2.5,14.81,18.0,,,,,,,,,,,,,,,,0.2,8.2,5.3,66.03,20.0,1.23130085649827
2019-01-01,columbus,franklin,OH,"3,21,012","9,85,283",32.448845500000004,0.0,39.98804347826086,-82.97978260869564,,,,,,1004.8,1024.4,1020.6,273.37,72.0,6.0,39.0,22.0,797.43,48.0,74.9,91.5,86.8,136.53,72.0,2.4,13.1,4.4,53.68,72.0,,,,,,1.0,6.5,2.8,21.28,45.0,0.1,9.0,2.5,59.17,65.0,,,,,,,,,,,,,,,,0.2,26.1,5.5,318.07,71.0,0.0
2019-01-01,dallas,dallas,TX,"6,47,418","19,82,292",63.927709,0.0,32.79677966101696,-96.783559322034,8.0,16.0,12.1,27.75,61.0,1016.7,1027.4,1023.8,75.87,72.0,23.0,47.0,33.0,403.66,72.0,0.0,89.0,0.0,15305.3,72.0,0.0,0.0,0.0,0.0,72.0,0.5,2.0,1.0,5.83,3.0,,,,,,0.1,14.1,6.7,119.82,72.0,,,,,,,,,,,,,,,,1.1,18.0,12.3,278.43,72.0,1.7913917043465324
2019-01-01,denver,denver,CO,"2,08,299","5,06,003",22.101613,0.0,39.74446428571429,-104.91196428571422,0.5,13.5,7.4,116.48,174.0,1013.9,1039.8,1028.2,538.79,215.0,9.0,85.0,42.0,3094.2,182.0,0.0,83.6,65.5,9612.03,213.0,-16.1,0.0,0.0,340.12,205.0,,,,,,1.9,17.9,6.0,225.82,176.0,0.0,3.2,0.0,4.69,197.0,1.0,7.3,1.9,28.56,124.0,0.6,4.1,1.6,10.24,61.0,1.0,35.0,13.0,481.92,183.0,0.1,7.0,2.9,27.0,180.0,7.7286763621971275
2019-01-01,detroit,wayne,MI,"4,79,435","12,69,097",42.261367,0.0,42.37173913043482,-83.10043478260866,6.4,20.8,10.4,119.23,69.0,1005.6,1026.7,1022.6,348.11,72.0,3.0,40.0,22.0,1143.34,67.0,78.5,95.0,92.0,239.73,72.0,0.0,0.0,0.0,0.0,69.0,1.0,2.0,1.0,3.0,6.0,,,,,,0.0,0.0,0.0,0.0,72.0,,,,,,,,,,,4.0,9.0,6.0,18.31,72.0,2.2,12.7,4.7,58.05,70.0,20.83867910688013
2019-01-01,el paso,el paso,TX,"1,81,657","6,56,531",25.74996,0.0,31.83372262773728,-106.42459854014618,0.8,32.8,17.6,698.62,164.0,0.0,1020.8,1014.0,1131910.0,192.0,4.0,212.0,50.0,22145.9,144.0,0.0,86.2,44.2,8697.3,192.0,0.0,0.0,0.0,0.0,190.0,,,,,,1.9,31.5,4.7,857.3,96.0,0.0,31.5,0.0,536.37,188.0,,,,,,,,,,,5.0,151.0,19.0,10052.3,189.0,0.2,42.5,9.1,1092.11,190.0,1.5568406539323607
2019-01-01,fort worth,tarrant,TX,"4,92,951","15,85,607",51.998343,0.0,32.75272727272726,-97.33181818181818,8.0,13.6,12.1,23.94,20.0,984.3,1032.8,1025.6,2711.23,48.0,12.0,58.0,27.0,765.05,44.0,0.0,82.0,0.0,11670.2,48.0,0.0,5.7,0.0,19.8,48.0,1.0,1.0,1.0,0.0,2.0,,,,,,1.0,7.2,3.8,20.59,48.0,,,,,,,,,,,,,,,,5.1,21.5,10.8,153.26,46.0,0.17374056005740482
2019-01-01,fresno,fresno,CA,"2,41,319","7,50,042",28.155253000000002,0.0,36.75683333333335,-119.78333333333329,0.8,23.3,3.2,641.77,55.0,1017.7,1025.4,1023.0,45.7,72.0,78.0,163.0,115.0,7065.35,72.0,0.0,100.0,82.6,18544.3,72.0,-0.4,8.0,0.0,24.47,71.0,0.3,5.0,2.3,14.4,58.0,5.6,29.7,17.6,428.49,67.0,0.0,3.0,0.6,5.6,61.0,2.7,13.6,6.7,63.41,70.0,,,,,,15.0,67.0,44.0,1464.6,69.0,0.1,7.2,1.9,32.6,57.0,0.0
2019-01-01,hartford,hartford,CT,"2,13,275","6,76,693",24.613064,0.0,41.76194444444444,-72.68055555555556,3.7,13.0,9.4,74.48,22.0,995.9,1019.7,1006.7,441.95,72.0,3.0,70.0,21.0,1065.16,69.0,0.0,100.0,60.7,14405.1,71.0,0.0,10.4,0.0,74.98,71.0,2.0,10.0,6.0,47.22,12.0,0.5,16.7,2.8,255.68,58.0,0.2,10.8,3.4,73.92,63.0,1.5,4.0,2.4,7.13,19.0,,,,,,2.0,14.0,8.0,77.27,45.0,0.6,23.0,7.0,370.6,68.0,0.3809499767105836
